% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 93.73    0.019081        6360         3           wait4
  2.07    0.000421           5        81        48 stat
  1.23    0.000251           5        47        30 access
  0.86    0.000175           7        24           lstat
  0.74    0.000150          50         3           vfork
  0.36    0.000074           1        51        44 openat
  0.24    0.000049           3        13           close
  0.22    0.000044          14         3           pipe2
  0.15    0.000030           3         8           readlink
  0.14    0.000028           9         3           unlink
  0.11    0.000022           3         6           read
  0.10    0.000020           6         3           getpid
  0.06    0.000012           6         2           getcwd
  0.00    0.000000           0         4           fstat
  0.00    0.000000           0         9           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         9           rt_sigaction
  0.00    0.000000           0         5           ioctl
  0.00    0.000000           0         6           pread64
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.020357                   294       123 total
